,Sybil,id,join_date,num_comment,num_comment_on_own_post,num_friend,num_join_group,num_like_on_own_post,num_own_post,num_post_on_wall,num_reaction,num_share_on_own_post,num_tagged_post,num_used_tags,num_used_tags_commnet,num_user_tags,num_user_tags_comment,is_train
937,0,100002449554410,,20.0,,0.0,,,,,56.0,,1.0,,,1.0,,TRUE
938,0,100011190725179,2001-01-01,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,TRUE
939,0,100006729159436,2001-01-01,9.0,,1.0,,,,,46.0,,4.0,,,4.0,,TRUE
940,0,100000098222100,,39.0,,0.0,,,,,590.0,,1.0,,,1.0,,FALSE
941,0,100027217179904,,6.0,,0.0,,,,,22.0,,2.0,,,2.0,,TRUE
942,0,100005942886191,2001-01-01,20.0,,0.0,,,,,62.0,,1.0,,,1.0,,TRUE
943,0,100004674729524,2001-01-01,2.0,,0.0,,,5.0,5.0,,,,,,,,TRUE
944,0,100002986624936,2001-01-01,9.0,,0.0,,,,,51.0,,2.0,,,2.0,,TRUE
945,0,100002860106245,,127.0,,1.0,,,,,44.0,,5.0,,,6.0,,TRUE
946,0,1584492764,,17.0,,0.0,,,,,90.0,,2.0,,,2.0,,TRUE
947,0,100004197705774,2001-01-01,17.0,,0.0,,,,,166.0,,2.0,,,2.0,,TRUE
948,0,100006952202300,2001-01-01,4.0,,0.0,,,,,54.0,,1.0,,,1.0,,TRUE
949,0,100009247814382,,,,0.0,132.0,,,,18.0,,1.0,,,1.0,,TRUE
950,0,100003091837807,,9.0,,0.0,,,,,92.0,,3.0,,,3.0,,TRUE
951,0,100013330050295,2001-01-01,4.0,,0.0,,,,,27.0,,2.0,,,2.0,,TRUE
952,0,100001834518217,,2.0,,0.0,,,,,14.0,,1.0,,,1.0,,TRUE
953,0,100008201768263,2001-01-01,,,1.0,9.0,,,,36.0,,1.0,,,4.0,,TRUE
954,0,100004041264160,,5.0,,0.0,,,,,24.0,,2.0,,,2.0,,TRUE
955,0,100008012650105,2001-01-01,8.0,,0.0,,,1.0,1.0,,,,,,,,TRUE
956,0,100008852531428,2001-01-01,,,0.0,,,20.0,20.0,,,15.0,40.0,,15.0,,TRUE
957,0,100000274767558,2001-01-01,3.0,,0.0,,,,,110.0,,3.0,,,3.0,,FALSE
958,0,100003068794897,,14.0,,0.0,,,,,55.0,,9.0,,,9.0,,TRUE
959,0,100006452165230,2001-01-01,4.0,,0.0,,,,,83.0,,2.0,,,2.0,,TRUE
960,1,100003916553296,2001-01-01,41.0,,0.0,,,,,171.0,,1.0,,,2.0,,TRUE
961,0,100007008875493,2001-01-01,19.0,,0.0,16.0,,,,,,1.0,,,1.0,,TRUE
962,0,100008605124429,2001-01-01,19.0,,0.0,,,,,65.0,,6.0,,,6.0,,TRUE
963,0,100008893596506,2001-01-01,6.0,,0.0,,,,,45.0,,2.0,,,3.0,,TRUE
964,0,100000572079761,,52.0,,0.0,,,,,180.0,,7.0,,,13.0,,TRUE
965,0,100004369805169,2001-01-01,3.0,,0.0,10.0,,,,,,1.0,,,1.0,,TRUE
966,0,100001360280608,,13.0,,0.0,,,,,50.0,,1.0,,,1.0,,TRUE
967,0,100001797665316,,10.0,,0.0,,,,,64.0,,4.0,,,5.0,,TRUE
968,0,100002553864745,2001-01-01,,,0.0,73.0,,,,29.0,,4.0,,,4.0,,TRUE
969,0,100016617427850,2001-01-01,1.0,,0.0,,,,,64.0,,1.0,,,1.0,,TRUE
970,0,100014235644924,2001-01-01,5.0,,1.0,,,,,101.0,,1.0,,,1.0,,TRUE
971,0,100000632352595,2001-01-01,6.0,,0.0,,,,,22.0,,1.0,,,2.0,,TRUE
972,0,100004098980738,2001-01-01,,,0.0,259.0,,,,310.0,,1.0,,,1.0,,FALSE
973,0,100008054916300,2001-01-01,2.0,,0.0,,,,,17.0,,1.0,,,1.0,,TRUE
974,0,100006097813322,2001-01-01,7.0,,0.0,,,,,42.0,,2.0,,,2.0,,TRUE
975,0,100002984600982,2001-01-01,,,0.0,65.0,,3.0,,,,3.0,14.0,,3.0,,FALSE
976,0,100005268570889,2001-01-01,5.0,,0.0,,,,,73.0,,2.0,,,2.0,,TRUE
977,0,100010366728651,2001-01-01,39.0,,4.0,,,,,43.0,,5.0,,,6.0,,TRUE
978,0,100005594682176,,17.0,,0.0,,,,,61.0,,1.0,,,1.0,,TRUE
979,0,100006751659005,2001-01-01,3.0,,3.0,,,,,77.0,,1.0,,,1.0,,TRUE
980,0,100009860557319,2001-01-01,2.0,,0.0,,,1.0,1.0,,,,1.0,,,,FALSE
981,0,100006127271743,2001-01-01,6.0,,0.0,,,,,70.0,,1.0,,,1.0,,TRUE
982,0,100007582081152,2001-01-01,17.0,,0.0,,,,,74.0,,1.0,,,1.0,,TRUE
983,0,100004768292743,2001-01-01,1.0,,0.0,,,,,12.0,,1.0,,,1.0,,TRUE
984,0,100003757097489,2001-01-01,1.0,,0.0,,,,,20.0,,1.0,,,1.0,,TRUE
985,0,100001107439884,,15.0,,0.0,,,,,101.0,,1.0,,,1.0,,TRUE
986,0,100000104245529,2001-01-01,4.0,,0.0,,,,,87.0,,4.0,,,4.0,,TRUE
987,0,100005583543076,2001-01-01,63.0,,0.0,,,,,439.0,,4.0,,,5.0,,TRUE
988,0,100000684474644,,1.0,,0.0,,,,,39.0,,1.0,,,1.0,,TRUE
989,0,100001336483580,,4.0,,0.0,,,,,49.0,,3.0,,,3.0,,TRUE
990,0,100003827870182,2001-01-01,,,0.0,6.0,,,,23.0,,2.0,,,4.0,,TRUE
991,0,100011636102361,2001-01-01,12.0,,0.0,,,,,52.0,,1.0,,,1.0,,FALSE
992,0,100011340586512,,1.0,,0.0,,,1.0,1.0,,,,1.0,,,,TRUE
993,0,100000080165557,,12.0,,0.0,,,,,129.0,,2.0,,,2.0,,TRUE
994,1,100008787013392,2001-01-01,389.0,,1.0,3.0,,,,2263.0,,,,,,,FALSE
995,0,100003247910220,2001-01-01,1.0,,0.0,,,,,137.0,,1.0,,,1.0,,FALSE
996,0,100008284154849,,1.0,,,,,1.0,1.0,,,,,,,,TRUE
997,0,100003139851006,2001-01-01,11.0,,1.0,,,,,16.0,,1.0,,,2.0,,TRUE
998,0,100008271169175,2001-01-01,1.0,,0.0,,,,,24.0,,1.0,,,1.0,,TRUE
999,0,100011006290259,2001-01-01,9.0,,0.0,,,,,392.0,,2.0,,,3.0,,TRUE
1000,0,100005584867595,2001-01-01,2.0,,0.0,,,1.0,1.0,,,,,,,,TRUE
